performer_id,name,is_active,country_id,genre
1,Ariana Grande 547,False,905,Country
2,Betty Orrobin,True,234,Folk
3,The Weeknd 819,False,714,Trance
4,Billie Eilish 727,True,472,Metal
5,Garrard Bartosek,True,249,House
6,Armin van Buuren 212,True,976,R&B
7,Deadmau5 176,True,723,K-Pop
8,Armin van Buuren 374,True,739,Jazz
9,Dua Lipa 401,True,177,Dubstep
10,Travis Scott 41,True,978,Drum & Bass
11,Marrilee Laird,True,329,EDM
12,Omero Garbott,True,341,Drum & Bass
13,Terry Hathaway,True,226,Lounge
14,Selene Burl,False,321,Ambient
15,Steve Aoki 630,True,986,Jazz
16,Bruno Mars 871,True,698,Soul
17,Agnes Wickes,True,446,House
18,Diplo 469,False,260,J-Pop
19,Tiësto 330,True,611,Drum & Bass
20,Sam Smith 884,False,729,Latin
21,Diplo 596,False,861,Latin
22,Avicii 544,True,570,Soul
23,Armin van Buuren 260,True,523,Reggae
24,Barney Sanham,True,268,Opera
25,Mercy Rymer,False,670,Disco
26,Ariana Grande 780,False,966,K-Pop
27,Roderic Wilflinger,True,910,R&B
28,The Weeknd 520,True,580,Trance
29,Kiersten Elrick,False,160,HipHop
30,Shawn Mendes 112,True,42,Indie
31,Hamel Bromet,True,275,Ambient
32,Genna Skamal,True,609,Opera
33,Drake 622,True,58,Punk
34,Martin Garrix 676,False,545,Gospel
35,Travis Scott 89,False,441,Reggae
36,Goddard Pritchett,False,985,Punk
37,Papageno Wratten,False,406,Grunge
38,Justin Bieber 985,True,564,Dubstep
39,Martin Garrix 171,True,146,Chillout
40,Denney Blaik,False,618,Ska
41,Josephina Coysh,False,596,Electronic
42,Fairfax Feasey,True,857,Classical
43,Papageno Wratten,False,440,Gospel
44,Alexander Callan,True,724,Lounge
45,Steve Aoki 225,False,560,Electronic
46,Skrillex 145,True,614,Alternative
47,Lolita Petricek,False,255,Metal
48,Zedd 960,False,599,Alternative
49,Terry Hathaway,True,637,Reggae
50,Skrillex 40,True,806,Metal
51,Halsey 895,False,147,K-Pop
52,Armin van Buuren 779,False,749,Trance
53,Kiersten Elrick,False,852,Punk
54,Broddie Bletsoe,False,629,House
55,Dallas Vasyutkin,True,793,Ska
56,Ariana Grande 906,False,727,EDM
57,Sam Smith 326,True,519,Ska
58,Deadmau5 315,True,178,Blues
59,Avicii 441,False,624,Ska
60,Khalid 163,False,69,Jazz
61,Vonny Leachman,True,7,Electronic
62,Calvin Harris 928,False,306,Gospel
63,Carlyle Geri,False,664,Funk
64,Avicii 652,True,690,Indie
65,Drake Ghidoni,True,353,Indie
66,Phillida Lukianovich,True,929,Chillout
67,Post Malone 183,False,230,EDM
68,Selene Burl,False,837,K-Pop
69,Marshmello 757,False,727,Soul
70,Shawn Mendes 499,False,254,Lounge
71,Steve Aoki 520,False,939,Chillout
72,Marshmello 478,True,525,Hardstyle
73,Kygo 287,False,927,Folk
74,Skrillex 357,True,205,Classical
75,Melinda Armin,False,935,Pop
76,Judah Rudloff,False,638,Punk
77,Steve Aoki 426,False,101,Metal
78,Harry Styles 627,False,298,Drum & Bass
79,Calvin Harris 156,True,255,Punk
80,Lizzo 362,True,195,Techno
81,Marshmello 827,True,571,Jazz
